city,country,continent,latitude,longitude,population,date,pm25,pm10,no2,o3,so2,aqi
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-11-19,136.41,247.11,70.7,55.42,21.28,235.1
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-11-19,24.86,99.8,27.93,53.96,7.97,77.5
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-11-19,34.51,126.77,27.26,53.35,6.9,98.2
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-11-19,12.04,30.56,13.52,29.11,3.41,50.1
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-11-19,150.65,255.98,65.33,49.2,24.13,200.3
London,GB,Europe,51.5074,-0.1278,9.0,2023-11-19,24.3,43.46,36.15,45.69,5.46,76.3
Paris,FR,Europe,48.8566,2.3522,2.2,2023-11-19,15.85,31.78,29.93,40.76,3.17,58.2
Berlin,DE,Europe,52.52,13.405,3.6,2023-11-19,20.86,39.28,29.43,40.86,3.57,69.0
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-11-19,14.46,30.69,29.23,49.14,2.09,55.3
Rome,IT,Europe,41.9028,12.4964,2.8,2023-11-19,32.36,57.53,39.18,51.91,6.27,93.6
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-11-19,34.99,67.98,37.99,42.0,7.0,99.2
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-11-19,11.19,24.28,27.09,41.26,1.84,46.7
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-11-19,17.04,38.56,27.52,40.11,3.41,60.8
New York,US,North America,40.7128,-74.006,8.3,2023-11-19,13.82,28.74,22.91,43.75,3.16,53.9
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-11-19,27.06,53.09,28.03,62.62,3.41,82.2
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-11-19,43.12,82.17,36.06,51.43,11.62,119.3
Chicago,US,North America,41.8781,-87.6298,2.7,2023-11-19,55.49,93.23,44.74,57.65,12.1,150.1
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-11-19,11.71,25.57,23.86,43.51,2.34,48.8
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-11-19,34.54,64.31,32.77,41.86,5.91,98.2
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-11-19,18.41,40.11,25.7,45.02,2.68,63.7
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-11-19,26.3,52.46,30.15,44.49,4.66,80.6
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-11-19,26.45,49.68,29.23,54.54,4.69,80.9
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-11-19,62.91,112.36,62.45,52.47,12.98,157.9
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-11-19,48.53,84.8,45.27,45.96,10.31,132.8
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-11-19,72.23,145.85,33.62,43.17,13.45,167.7
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-11-19,91.56,159.84,53.28,55.97,15.31,188.0
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-11-19,7.2,30.8,22.6,37.16,7.44,30.0
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-11-19,20.68,43.52,25.84,38.7,5.14,68.6
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-11-19,21.95,40.43,28.48,52.09,4.39,71.3
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-11-19,10.28,22.42,19.14,44.48,1.66,42.9
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-11-20,100.97,186.46,50.49,42.29,13.19,197.9
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-11-20,127.13,213.2,71.07,52.64,28.43,225.3
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-11-20,27.5,48.75,29.25,40.75,4.5,83.2
Seoul,KR,Asia,37.5665,126.978,9.8,2023-11-20,59.17,103.75,44.58,47.75,12.83,154.0
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-11-20,14.21,48.82,17.61,23.76,1.0,54.7
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-11-20,88.26,157.38,61.13,43.48,21.65,184.5
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-11-20,68.94,125.91,48.97,54.18,12.79,164.2
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-11-20,102.84,174.26,65.42,60.85,19.57,199.8
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-11-20,50.93,88.89,47.96,48.78,11.19,138.8
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-11-20,5.0,15.5,21.17,39.7,1.47,20.9
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-11-20,53.79,123.19,29.4,30.64,4.76,146.0
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-11-20,53.65,142.97,42.32,62.59,13.73,145.6
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-11-20,64.46,171.69,42.23,62.34,12.89,159.5
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-11-20,41.05,74.07,28.02,37.81,9.21,114.1
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-11-20,128.45,222.67,54.22,42.53,19.69,226.7
London,GB,Europe,51.5074,-0.1278,9.0,2023-11-20,24.84,44.26,36.42,45.85,5.57,77.5
Paris,FR,Europe,48.8566,2.3522,2.2,2023-11-20,14.8,30.19,29.4,40.44,2.96,56.0
Berlin,DE,Europe,52.52,13.405,3.6,2023-11-20,20.86,39.3,29.43,40.86,3.57,69.0
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-11-20,30.07,54.11,37.04,53.82,5.21,88.7
Rome,IT,Europe,41.9028,12.4964,2.8,2023-11-20,44.68,76.02,45.34,55.6,8.74,123.2
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-11-20,47.13,86.2,44.07,45.64,9.43,129.3
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-11-20,6.96,17.93,24.98,39.99,1.0,29.0
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-11-20,38.22,70.33,38.11,46.47,7.64,107.0
New York,US,North America,40.7128,-74.006,8.3,2023-11-20,46.39,77.58,39.19,53.52,9.68,127.5
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-11-20,71.0,119.0,50.0,75.8,12.2,166.4
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-11-20,66.17,116.76,47.59,58.35,16.23,161.3
Chicago,US,North America,41.8781,-87.6298,2.7,2023-11-20,25.1,47.64,29.55,48.53,6.02,78.0
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-11-20,26.43,47.65,31.22,47.93,5.29,80.9
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-11-20,56.4,97.09,43.7,48.42,10.28,151.0
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-11-20,38.23,69.84,35.61,50.97,6.65,107.1
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-11-20,20.02,43.03,27.01,42.61,3.4,67.2
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-11-20,12.76,29.14,22.38,50.43,1.95,51.6
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-11-20,44.34,84.51,53.17,46.9,9.27,122.3
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-11-20,5.0,10.0,20.33,31.0,1.0,20.9
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-11-20,84.59,164.39,39.8,46.88,15.92,180.7
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-11-20,69.57,126.85,42.28,49.37,10.91,164.9
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-11-20,5.0,10.0,12.68,31.21,3.47,20.9
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-11-20,5.0,19.75,17.92,33.95,1.97,20.9
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-11-20,16.51,32.26,25.75,50.45,3.3,59.6
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-11-20,12.14,25.22,20.07,45.04,2.03,50.3
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-11-21,123.61,220.41,61.8,49.08,17.72,221.6
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-11-21,49.27,96.4,32.13,29.28,12.85,134.7
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-11-21,5.0,13.68,17.56,33.74,1.0,20.9
Seoul,KR,Asia,37.5665,126.978,9.8,2023-11-21,12.61,33.91,21.3,33.78,3.52,51.3
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-11-21,79.31,146.47,50.16,43.29,12.86,175.1
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-11-21,62.57,118.85,48.28,35.77,16.51,157.5
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-11-21,52.46,101.2,40.73,49.24,9.49,142.7
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-11-21,77.53,136.29,52.76,53.26,14.51,173.2
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-11-21,5.0,10.0,19.91,31.95,1.0,20.9
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-11-21,24.89,46.34,31.45,45.87,5.58,77.6
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-11-21,91.84,180.26,48.42,42.05,12.37,188.3
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-11-21,49.72,137.09,40.36,61.42,12.94,135.8
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-11-21,78.21,192.32,49.11,66.46,15.64,174.0
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-11-21,15.41,35.61,15.2,30.12,4.08,57.3
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-11-21,87.33,160.99,33.66,30.2,11.47,183.5
London,GB,Europe,51.5074,-0.1278,9.0,2023-11-21,27.98,48.98,37.99,46.8,6.2,84.2
Paris,FR,Europe,48.8566,2.3522,2.2,2023-11-21,11.29,24.93,27.64,39.39,2.26,47.1
Berlin,DE,Europe,52.52,13.405,3.6,2023-11-21,7.93,19.89,22.96,36.98,1.0,33.1
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-11-21,52.25,87.38,48.13,60.48,9.65,142.1
Rome,IT,Europe,41.9028,12.4964,2.8,2023-11-21,15.25,31.88,30.63,46.78,2.85,57.0
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-11-21,24.63,52.45,32.82,38.89,4.93,77.0
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-11-21,17.32,33.48,30.16,43.1,3.06,61.4
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-11-21,26.0,52.0,32.0,42.8,5.2,80.0
New York,US,North America,40.7128,-74.006,8.3,2023-11-21,34.11,59.16,33.05,49.83,7.22,97.3
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-11-21,49.63,86.94,39.31,69.39,7.93,135.6
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-11-21,65.95,116.43,47.48,58.29,16.19,161.1
Chicago,US,North America,41.8781,-87.6298,2.7,2023-11-21,23.62,45.43,28.81,48.09,5.72,74.9
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-11-21,18.06,35.1,27.03,45.42,3.61,63.0
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-11-21,56.23,96.84,43.61,48.37,10.25,150.9
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-11-21,25.33,50.49,29.16,47.1,4.07,78.5
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-11-21,37.12,68.68,35.56,47.74,6.82,104.3
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-11-21,17.13,35.69,24.56,51.74,2.83,61.0
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-11-21,12.34,36.51,37.17,37.3,2.87,50.7
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-11-21,29.09,55.63,35.54,40.13,6.42,86.6
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-11-21,111.08,204.11,53.04,54.82,21.22,208.5
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-11-21,45.86,91.28,30.43,42.26,6.17,126.1
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-11-21,19.24,48.87,28.62,40.77,9.85,65.5
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-11-21,19.07,41.1,25.03,38.22,4.81,65.1
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-11-21,8.3,19.95,21.65,47.99,1.66,34.6
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-11-21,5.0,14.49,16.5,42.9,1.0,20.9
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-11-22,107.09,195.63,53.54,44.13,14.42,204.3
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-11-22,21.12,54.17,18.06,20.83,7.22,69.5
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-11-22,32.27,55.91,31.64,42.18,5.45,93.4
Seoul,KR,Asia,37.5665,126.978,9.8,2023-11-22,42.41,78.62,36.21,42.72,9.48,117.5
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-11-22,71.9,135.34,46.45,41.07,11.38,167.3
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-11-22,69.44,129.15,51.72,37.83,17.89,164.7
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-11-22,67.99,124.48,48.49,53.9,12.6,163.2
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-11-22,65.31,117.97,46.66,49.59,12.06,160.4
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-11-22,22.54,46.3,33.77,40.26,5.51,72.5
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-11-22,16.84,34.25,27.42,43.45,3.97,60.3
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-11-22,31.87,90.31,18.44,24.06,1.0,92.5
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-11-22,42.28,125.91,36.64,59.18,11.46,117.2
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-11-22,44.27,141.41,32.14,56.28,8.85,122.2
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-11-22,51.7,90.04,33.35,41.01,11.34,140.7
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-11-22,169.25,283.87,74.62,54.77,27.85,219.8
London,GB,Europe,51.5074,-0.1278,9.0,2023-11-22,32.12,55.17,40.06,48.03,7.02,93.0
Paris,FR,Europe,48.8566,2.3522,2.2,2023-11-22,20.12,38.17,32.06,42.03,4.02,67.4
Berlin,DE,Europe,52.52,13.405,3.6,2023-11-22,18.3,35.44,28.15,40.09,3.06,63.5
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-11-22,36.05,63.08,40.03,55.62,6.41,101.6
Rome,IT,Europe,41.9028,12.4964,2.8,2023-11-22,18.78,37.17,32.39,47.83,3.56,64.5
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-11-22,42.39,79.08,41.69,44.22,8.48,117.5
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-11-22,38.2,64.81,40.6,49.36,7.24,107.0
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-11-22,30.94,59.41,34.47,44.28,6.19,90.5
New York,US,North America,40.7128,-74.006,8.3,2023-11-22,39.27,66.9,35.63,51.38,8.25,109.7
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-11-22,34.97,64.96,31.99,64.99,4.99,99.2
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-11-22,44.76,84.65,36.88,51.93,11.95,123.4
Chicago,US,North America,41.8781,-87.6298,2.7,2023-11-22,38.97,68.45,36.48,52.69,8.79,108.9
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-11-22,21.05,39.57,28.52,46.31,4.21,69.4
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-11-22,37.05,68.08,34.03,42.62,6.41,104.1
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-11-22,28.81,55.71,30.9,48.14,4.76,86.0
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-11-22,16.99,38.48,25.49,41.7,2.8,60.7
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-11-22,19.09,38.64,25.55,52.33,3.22,65.2
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-11-22,60.53,108.79,61.26,51.76,12.51,155.4
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-11-22,43.35,77.03,42.68,44.41,9.27,119.9
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-11-22,125.66,225.99,60.33,59.2,24.13,223.8
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-11-22,71.47,129.71,43.24,49.94,11.29,166.9
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-11-22,44.49,86.74,41.25,48.35,14.9,122.7
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-11-22,5.0,10.0,9.95,29.17,1.0,20.9
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-11-22,8.32,19.98,21.66,48.0,1.66,34.7
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-11-22,7.32,17.98,17.66,43.6,1.06,30.5
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-11-23,132.64,233.96,66.32,51.79,19.53,231.1
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-11-23,129.31,216.47,72.16,53.29,28.86,227.6
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-11-23,26.97,47.95,28.98,40.59,4.39,82.0
Seoul,KR,Asia,37.5665,126.978,9.8,2023-11-23,52.89,94.34,41.45,45.87,11.58,143.7
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-11-23,72.88,136.83,46.94,41.37,11.58,168.4
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-11-23,44.54,91.81,39.27,30.36,12.91,122.9
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-11-23,32.71,71.56,30.85,43.31,5.54,94.3
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-11-23,54.87,102.31,41.44,46.46,9.97,148.7
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-11-23,7.55,23.83,26.28,35.77,2.51,31.5
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-11-23,34.09,60.14,36.05,48.63,7.42,97.3
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-11-23,131.03,239.05,68.02,53.81,20.21,229.4
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-11-23,26.53,102.29,28.76,54.46,8.31,81.1
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-11-23,55.54,158.32,37.77,59.66,11.11,150.2
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-11-23,12.14,30.72,13.57,29.14,3.43,50.3
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-11-23,139.13,238.69,59.56,45.74,21.83,237.9
London,GB,Europe,51.5074,-0.1278,9.0,2023-11-23,26.1,46.15,37.05,46.23,5.82,80.2
Paris,FR,Europe,48.8566,2.3522,2.2,2023-11-23,23.33,42.99,33.66,43.0,4.67,74.2
Berlin,DE,Europe,52.52,13.405,3.6,2023-11-23,8.36,20.55,23.18,37.11,1.07,34.9
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-11-23,28.33,51.5,36.17,53.3,4.87,85.0
Rome,IT,Europe,41.9028,12.4964,2.8,2023-11-23,28.21,51.32,37.11,50.66,5.44,84.7
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-11-23,5.0,10.0,14.09,27.66,1.0,20.9
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-11-23,5.0,10.0,22.17,38.3,1.0,20.9
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-11-23,21.96,45.94,29.98,41.59,4.39,71.3
New York,US,North America,40.7128,-74.006,8.3,2023-11-23,26.79,48.18,29.39,47.64,5.76,81.6
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-11-23,7.29,23.44,18.15,56.69,1.0,30.4
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-11-23,41.99,80.49,35.5,51.1,11.4,116.5
Chicago,US,North America,41.8781,-87.6298,2.7,2023-11-23,19.27,38.91,26.64,46.78,4.85,65.6
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-11-23,14.17,29.26,25.09,44.25,2.83,54.6
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-11-23,66.57,112.35,48.78,51.47,12.31,161.7
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-11-23,35.1,65.15,34.05,50.03,6.02,99.4
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-11-23,29.78,57.67,31.89,45.53,5.36,88.1
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-11-23,23.73,45.6,27.87,53.72,4.15,75.1
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-11-23,5.1,25.65,33.55,35.13,1.42,21.3
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-11-23,6.42,21.63,24.21,33.33,1.88,26.8
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-11-23,56.29,121.93,25.64,38.39,10.26,150.9
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-11-23,20.54,53.31,17.77,34.66,1.11,68.3
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-11-23,35.24,72.86,36.62,45.57,13.05,99.7
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-11-23,27.88,54.32,29.44,40.86,6.58,84.0
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-11-23,5.0,10.0,16.49,44.89,1.0,20.9
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-11-23,5.0,10.0,14.69,41.82,1.0,20.9
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-11-24,168.14,287.22,84.07,62.44,26.63,218.6
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-11-24,50.5,98.26,32.75,29.65,13.1,137.8
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-11-24,32.59,56.38,31.79,42.28,5.52,94.1
Seoul,KR,Asia,37.5665,126.978,9.8,2023-11-24,22.96,49.44,26.48,36.89,5.59,73.4
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-11-24,58.27,114.91,39.64,36.98,8.65,153.0
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-11-24,86.58,154.87,60.29,42.97,21.32,182.7
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-11-24,44.35,89.03,36.68,46.81,7.87,122.4
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-11-24,81.16,141.74,54.58,54.35,15.23,177.1
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-11-24,53.98,93.47,49.49,49.69,11.8,146.5
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-11-24,10.32,24.49,24.16,41.5,2.66,43.1
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-11-24,60.18,132.76,32.59,32.55,6.04,155.0
Dubai,AE,Asia,25.2048,55.2708,3.6,2023-11-24,65.2,160.3,48.1,66.06,16.04,160.3
Riyadh,SA,Asia,24.7136,46.6753,7.0,2023-11-24,67.66,176.49,43.83,63.3,13.53,162.9
Hanoi,VN,Asia,21.0285,105.8542,8.4,2023-11-24,23.59,47.89,19.3,32.58,5.72,74.8
Lahore,PK,Asia,31.5204,74.3587,11.2,2023-11-24,121.41,212.12,50.71,40.42,18.28,219.3
London,GB,Europe,51.5074,-0.1278,9.0,2023-11-24,5.0,13.43,26.14,39.69,1.46,20.9
Paris,FR,Europe,48.8566,2.3522,2.2,2023-11-24,16.87,33.31,30.44,41.06,3.37,60.4
Berlin,DE,Europe,52.52,13.405,3.6,2023-11-24,24.1,44.15,31.05,41.83,4.22,75.9
Madrid,ES,Europe,40.4168,-3.7038,3.3,2023-11-24,28.8,52.2,36.4,53.44,4.96,85.9
Rome,IT,Europe,41.9028,12.4964,2.8,2023-11-24,35.28,61.92,40.64,52.78,6.86,99.8
Moscow,RU,Europe,55.7558,37.6173,12.6,2023-11-24,35.4,68.6,38.2,42.12,7.08,100.0
Amsterdam,NL,Europe,52.3676,4.9041,0.9,2023-11-24,8.66,20.5,25.83,40.5,1.33,36.1
Warsaw,PL,Europe,52.2297,21.0122,1.9,2023-11-24,23.59,48.38,30.79,42.08,4.72,74.8
New York,US,North America,40.7128,-74.006,8.3,2023-11-24,18.78,36.17,25.39,45.23,4.16,64.5
Los Angeles,US,North America,34.0522,-118.2437,3.9,2023-11-24,41.95,75.42,35.47,67.08,6.39,116.4
Mexico City,MX,North America,19.4326,-99.1332,21.5,2023-11-24,54.05,98.57,41.52,54.71,13.81,146.6
Chicago,US,North America,41.8781,-87.6298,2.7,2023-11-24,16.9,35.35,25.45,46.07,4.38,60.5
Toronto,CA,North America,43.6532,-79.3832,2.9,2023-11-24,20.66,38.99,28.33,46.2,4.13,68.5
São Paulo,BR,South America,-23.5505,-46.6333,12.3,2023-11-24,69.26,116.39,50.13,52.28,12.85,164.6
Rio de Janeiro,BR,South America,-22.9068,-43.1729,6.7,2023-11-24,23.91,48.36,28.45,46.67,3.78,75.5
Buenos Aires,AR,South America,-34.6037,-58.3816,15.6,2023-11-24,38.78,71.18,36.39,48.24,7.16,108.5
Fortaleza,BR,South America,-3.7172,-38.5433,2.7,2023-11-24,25.06,47.59,28.53,54.12,4.41,77.9
Santiago,CL,South America,-33.4489,-70.6693,5.3,2023-11-24,33.69,68.53,47.84,43.71,7.14,96.4
Bogotá,CO,South America,4.711,-74.0721,7.9,2023-11-24,37.68,68.51,39.84,42.7,8.14,105.7
Cairo,EG,Africa,30.0444,31.2357,21.0,2023-11-24,92.57,176.36,43.79,49.27,17.51,189.0
Lagos,NG,Africa,6.5244,3.3792,15.4,2023-11-24,59.8,112.2,37.4,46.44,8.96,154.6
Johannesburg,ZA,Africa,-26.2041,28.0473,6.0,2023-11-24,5.0,14.11,17.04,33.82,5.21,20.9
Nairobi,KE,Africa,-1.2921,36.8219,4.4,2023-11-24,10.27,27.91,20.64,35.58,3.05,42.8
Sydney,AU,Oceania,-33.8688,151.2093,5.3,2023-11-24,18.94,35.92,26.97,51.18,3.79,64.9
Melbourne,AU,Oceania,-37.8136,144.9631,5.2,2023-11-24,9.34,21.01,18.67,44.2,1.47,39.0
Delhi,IN,Asia,28.7041,77.1025,32.0,2023-11-25,113.96,205.94,56.98,46.19,15.79,211.5
Beijing,CN,Asia,39.9042,116.4074,21.5,2023-11-25,10.08,37.62,12.54,17.52,5.02,42.0
Tokyo,JP,Asia,35.6762,139.6503,14.0,2023-11-25,28.04,49.55,29.52,40.91,4.61,84.3
Seoul,KR,Asia,37.5665,126.978,9.8,2023-11-25,34.23,66.35,32.12,40.27,7.85,97.6
Mumbai,IN,Asia,19.076,72.8777,20.9,2023-11-25,122.46,211.19,71.73,56.24,21.49,220.4
Shanghai,CN,Asia,31.2304,121.4737,27.8,2023-11-25,80.93,146.39,57.46,41.28,20.19,176.8
Bangkok,TH,Asia,13.7563,100.5018,10.1,2023-11-25,84.19,148.78,56.59,58.76,15.84,180.2
Jakarta,ID,Asia,-6.2088,106.8456,10.9,2023-11-25,72.99,129.49,50.5,51.9,13.6,168.5
Hong Kong,HK,Asia,22.3193,114.1694,7.5,2023-11-25,39.62,71.93,42.31,45.39,8.92,110.6
Singapore,SG,Asia,1.3521,103.8198,5.9,2023-11-25,13.57,29.36,25.79,42.47,3.31,53.4
Kolkata,IN,Asia,22.5726,88.3639,14.7,2023-11-25,83.81,168.22,44.41,39.64,10.76,179.8
